Date,Open,High,Low,Close,Adj Close,Volume,Day
2013-09-23,106.720001,106.870003,105.800003,106.599998,93.394203,47759700,0
2013-09-24,106.459999,107.419998,105.790001,106.669998,93.704277,45267000,1
2013-09-25,106.769997,107.480003,106.330002,106.470001,93.528587,37106600,2
2013-09-26,106.75,107.470001,106.360001,107.059998,94.04689,29490600,3
2013-09-27,106.389999,107.050003,106.209999,106.580002,93.625259,30296400,4
2013-09-30,105.43,106.839996,105.239998,106.610001,93.651604,45771700,5
2013-10-01,106.559998,107.93,106.449997,107.849998,94.740852,39344400,6
2013-10-02,107.089996,107.75,106.849998,107.410004,94.354355,30622900,7
2013-10-03,107.209999,107.360001,105.599998,106.309998,93.388069,57799200,8
2013-10-04,106.339996,107.32,106.150002,107.019997,94.011749,25902800,9
2013-10-07,105.989998,106.660004,105.720001,105.769997,92.913681,32924200,10
2013-10-08,105.839996,106.029999,103.919998,104.059998,91.411537,61365000,11
2013-10-09,104.300003,104.360001,103,103.639999,91.042564,52604900,12
2013-10-10,105.010002,106.309998,104.919998,106.139999,93.238716,53157800,13
2013-10-11,105.839996,107.730003,105.830002,107.68,94.591537,43197100,14
2013-10-14,107.059998,108.349998,106.93,108.220001,95.065918,38774800,15
2013-10-15,107.989998,108.230003,106.919998,107.160004,94.13475,42263500,16
2013-10-16,107.910004,108.599998,107.639999,108.489998,95.303093,34333600,17
2013-10-17,108,109.459999,107.970001,109.440002,96.137619,38967200,18
2013-10-18,110.220001,110.769997,109.830002,110.690002,97.235672,39496400,19
2013-10-21,110.849998,111.080002,110.269997,110.470001,97.042435,29198900,20
2013-10-22,110.949997,111.489998,110.370003,110.760002,97.297157,38112600,21
2013-10-23,110.239998,110.550003,109.769997,110.389999,96.97213,32275300,22
2013-10-24,110.470001,111.260002,110.330002,110.980003,97.490402,24711800,23
2013-10-25,111.239998,111.449997,110.57,111.080002,97.578285,21321900,24
2013-10-28,111.129997,111.290001,110.459999,111.029999,97.53434,22512200,25
2013-10-29,111.330002,111.620003,110.529999,111.349998,97.815453,30026900,26
2013-10-30,111.400002,111.480003,109.519997,109.830002,96.480202,46076600,27
2013-10-31,109.769997,110.18,108.889999,109.190002,95.917969,47370000,28
2013-11-01,109.410004,109.629997,107.919998,108.720001,95.505104,117030400,29
2013-11-04,109.239998,110.150002,108.830002,109.970001,96.603188,31960000,30
2013-11-05,109.550003,109.93,108.860001,109.589996,96.269363,26643500,31
2013-11-06,110.349998,110.370003,108.910004,109.120003,95.856483,31773400,32
2013-11-07,109.620003,109.809998,107.139999,107.279999,94.240166,60459700,33
2013-11-08,107.440002,109.459999,107.389999,109.230003,95.953133,48147500,34
2013-11-11,109.040001,109.599998,108.639999,109.379997,96.084908,19897700,35
2013-11-12,109.07,109.510002,108.669998,109.470001,96.163986,28075100,36
2013-11-13,108.660004,110.550003,108.620003,110.519997,97.086334,36465900,37
2013-11-14,110.470001,110.599998,109.739998,110.410004,96.989693,33226800,38
2013-11-15,110.599998,110.989998,110.160004,110.830002,97.35865,27518500,39
2013-11-18,111.32,111.419998,109.75,110.050003,96.673485,35509600,40
2013-11-19,110.110001,110.690002,108.989998,109.370003,96.076118,36081300,41
2013-11-20,109.93,110.199997,108.849998,109.330002,96.04097,43376700,42
2013-11-21,109.809998,111.360001,109.68,111.300003,97.77153,45585000,43
2013-11-22,111.290001,111.970001,111.099998,111.849998,98.254684,28786400,44
2013-11-25,112.129997,112.279999,111.629997,111.989998,98.37767,22968600,45
2013-11-26,111.989998,113.019997,111.900002,112.82,99.106766,30760700,46
2013-11-27,112.839996,113.57,112.639999,113.449997,99.660194,29099600,47
2013-11-29,113.940002,114.160004,113.449997,113.510002,99.712898,15675500,48
2013-12-02,113.699997,113.760002,112.059998,112.370003,98.711479,43155200,49
2013-12-03,112.129997,112.599998,111.269997,111.830002,98.237122,36930700,50
2013-12-04,111.309998,112.419998,110.370003,111.529999,97.973587,40609500,51
2013-12-05,111.489998,112.019997,111.150002,111.610001,98.043846,37926700,52
2013-12-06,112.620003,113.099998,112.190002,112.480003,98.808083,36471900,53
2013-12-09,112.629997,112.889999,111.889999,112.449997,98.781738,31236500,54
2013-12-10,112.230003,112.580002,111.239998,111.43,97.885727,34938800,55
2013-12-11,111.529999,111.550003,109.32,109.599998,96.27816,47181600,56
2013-12-12,109.699997,110.25,109.360001,109.839996,96.488983,37706200,57
2013-12-13,110.050003,110.529999,109.419998,110.199997,96.805237,32980300,58
2013-12-16,110.620003,111.57,110.150002,111.510002,97.956017,33991200,59
2013-12-17,111.449997,111.540001,110.620003,111.349998,97.815453,32399800,60
2013-12-18,111.529999,112.900002,110.360001,112.879997,99.159454,52979000,61
2013-12-19,112.720001,112.849998,111.889999,112.040001,98.421577,32871100,62
2013-12-20,112.099998,114.220001,112.089996,113.93,100.081833,48770500,63
2013-12-23,114.18,114.82,113.949997,114.779999,101.216751,37049100,64
2013-12-24,114.910004,115.440002,114.870003,115.220001,101.604759,17371200,65
2013-12-26,115.629997,115.970001,115.099998,115.230003,101.613579,19670000,66
2013-12-27,115.470001,115.739998,114.779999,115.160004,101.55188,20069700,67
2013-12-30,115.110001,115.370003,114.849998,115.089996,101.49015,28917400,68
2013-12-31,115.360001,115.709999,115.169998,115.360001,101.728233,38357200,69
2014-01-02,115.089996,115.120003,113.639999,114.110001,100.625938,44247700,70
2014-01-03,114.529999,114.900002,114.110001,114.690002,101.137413,26468000,71
2014-01-06,115.220001,115.269997,113.709999,113.760002,100.317299,36198000,72
2014-01-07,114.190002,115.160004,114.110001,114.709999,101.155045,28545300,73
2014-01-08,114.779999,115.080002,114.07,114.860001,101.287315,30763600,74
2014-01-09,115.25,115.389999,114.160004,114.889999,101.313774,29872800,75
2014-01-10,114.919998,115.529999,114.400002,115.519997,101.869331,29174600,76
2014-01-13,115.300003,115.489998,113.260002,113.940002,100.476044,45370800,77
2014-01-14,114.440002,115.510002,114.18,115.339996,101.710609,39125300,78
2014-01-15,115.639999,116.290001,115.559998,116.199997,102.468941,31644100,79
2014-01-16,116.050003,116.379997,115.830002,116.339996,102.592422,23091900,80
2014-01-17,116.309998,116.43,115.690002,115.93,102.230873,28722300,81
2014-01-21,116.730003,116.870003,115.779999,116.620003,102.83934,29828700,82
2014-01-22,116.690002,117.370003,116.5,117.209999,103.359596,24011500,83
2014-01-23,116.720001,116.779999,115.660004,116.419998,102.662987,36057500,84
2014-01-24,115.690002,115.739998,113.220001,113.449997,100.043945,53591900,85
2014-01-27,113.779999,113.839996,111.150002,111.790001,98.580093,60368200,86
2014-01-28,111.93,112.989998,111.790001,112.970001,99.620659,43722200,87
2014-01-29,111.879997,112.580002,111.019997,111.339996,98.183266,61904600,88
2014-01-30,112.330002,113.650002,112.040001,113,99.647118,40851600,89
2014-01-31,111.25,113,111.169998,112.160004,98.90638,49293400,90
2014-02-03,111.870003,112.199997,108.150002,108.650002,95.811104,91686000,91
2014-02-04,109.190002,109.949997,108.400002,109.470001,96.534264,53138100,92
2014-02-05,108.809998,109.150002,107.269997,108.650002,95.811104,60644600,93
2014-02-06,108.879997,109.970001,108.849998,109.510002,96.569504,57611700,94
2014-02-07,109.970001,110.839996,109.5,110.75,97.662979,44068600,95
2014-02-10,110.790001,111.089996,109.959999,111.040001,97.918709,38211600,96
2014-02-11,111.120003,112.339996,110.870003,112.029999,98.79174,44394100,97
2014-02-12,112.199997,113.010002,111.970001,112.470001,99.179749,42307500,98
2014-02-13,111.379997,114.07,111.360001,113.900002,100.440765,42082400,99
2014-02-14,113.639999,114.209999,113.139999,114.059998,100.581841,32428200,100
2014-02-18,114.400002,115.449997,114.139999,115.25,101.631226,33630400,101
2014-02-19,114.900002,115.639999,113.980003,114.07,100.590691,44024300,102
2014-02-20,114.199997,115.540001,113.910004,115.300003,101.675316,35919600,103
2014-02-21,115.620003,116.110001,115.400002,115.660004,101.992783,34814100,104
2014-02-24,115.839996,117.309998,115.760002,116.510002,102.742332,43102800,105
2014-02-25,116.660004,117.239998,116.18,116.629997,102.84816,28474200,106
2014-02-26,116.709999,118.110001,116.43,117.349998,103.483086,40794800,107
2014-02-27,116.959999,118.059998,116.760002,117.989998,104.04744,29906200,108
2014-02-28,117.959999,118.709999,116.800003,117.519997,103.632973,47362700,109
2014-03-03,116.519997,117.260002,115.580002,116.889999,103.077423,50892800,110
2014-03-04,118.199997,120.580002,118.18,119.830002,105.670029,112793900,111
2014-03-05,119.860001,119.959999,119.470001,119.760002,105.608299,34691300,112
2014-03-06,120.120003,120.25,119.419998,119.739998,105.590645,35087600,113
2014-03-07,120.410004,120.470001,119.029999,119.699997,105.555367,36931800,114
2014-03-10,119.360001,119.580002,118.489998,119.300003,105.202637,32089000,115
2014-03-11,119.410004,119.809998,117.510002,118.059998,104.109192,50359500,116
2014-03-12,117.389999,118.440002,116.919998,118.419998,104.426643,37159100,117
2014-03-13,118.849998,118.959999,116.379997,117.050003,103.218536,53542800,118
2014-03-14,116.629997,117.870003,116.620003,117.540001,103.65062,46888100,119
2014-03-17,118.220001,119.099998,117.879997,118.059998,104.109192,41561600,120
2014-03-18,118.220001,119.879997,118.099998,119.779999,105.625938,41606600,121
2014-03-19,119.68,119.739998,118.099998,119,104.938133,47423000,122
2014-03-20,118.730003,119.540001,118.160004,119.160004,105.079224,33212900,123
2014-03-21,119.720001,120.260002,118.559998,118.610001,104.594193,47110800,124
2014-03-24,119.07,119.230003,116.190002,117.260002,103.403732,66747000,125
2014-03-25,117.669998,118.309998,116.139999,116.93,103.378937,47699700,126
2014-03-26,117.629997,117.68,114.650002,114.690002,101.39856,69052500,127
2014-03-27,114.709999,115.379997,113.690002,114.400002,101.142159,65234900,128
2014-03-28,114.480003,116,113.980003,114.290001,101.044922,50558000,129
2014-03-31,115.040001,116.68,114.629997,116.339996,102.857323,44599200,130
2014-04-01,116.629997,118.059998,116.589996,117.870003,104.210007,47906600,131
2014-04-02,118.290001,118.480003,117.709999,118.400002,104.678604,33856500,132
2014-04-03,118.400002,118.440002,116.68,117.199997,103.617661,38473500,133
2014-04-04,117.959999,118.120003,114.019997,114.489998,101.221718,86345900,134
2014-04-07,113.949997,114.239998,112.080002,112.82,99.745262,68537700,135
2014-04-08,112.809998,114.199997,112.199997,113.610001,100.44371,60087900,136
2014-04-09,114,115.25,113.5,115.25,101.893654,42744900,137
2014-04-10,115.099998,115.110001,111.400002,111.959999,98.984924,74860200,138
2014-04-11,111.040001,112.239998,109.860001,110.410004,97.614548,70998200,139
2014-04-14,111.550003,111.970001,109.650002,110.720001,97.888634,62657700,140
2014-04-15,111.029999,111.720001,108.660004,111.150002,98.268799,76968000,141
2014-04-16,111.93,112.440002,111.230003,112.360001,99.338577,49353800,142
2014-04-17,111.989998,113.410004,111.720001,112.919998,99.833649,50275100,143
2014-04-21,113.129997,113.529999,112.279999,113.449997,100.302254,31970700,144
2014-04-22,113.629997,115.019997,113.470001,114.620003,101.336647,40541900,145
2014-04-23,114.480003,114.769997,113.769997,113.900002,100.700111,33859500,146
2014-04-24,114.589996,114.669998,112.68,113.610001,100.44371,44318900,147
2014-04-25,113.169998,113.209999,111.209999,111.610001,98.675491,58386300,148
2014-04-28,112.010002,112.540001,109.32,110.959999,98.100822,66050100,149
2014-04-29,111.419998,111.980003,110.900002,111.239998,98.348396,34487600,150
2014-04-30,110.879997,112.059998,109.949997,111.980003,99.002602,43929700,151
2014-05-01,111.75,112.769997,110.540001,111.940002,98.967247,78690900,152
2014-05-02,112.089996,113.120003,111.68,112.029999,99.046837,43450300,153
2014-05-05,111.120003,112.18,110.529999,111.889999,98.923058,28108400,154
2014-05-06,111.410004,111.709999,109.989998,110.07,97.313972,45354700,155
2014-05-07,110.230003,110.449997,108.43,110.139999,97.375839,64243800,156
2014-05-08,110.029999,111.239998,108.690002,109.029999,96.39447,58520300,157
2014-05-09,108.690002,110.059998,108.279999,110.029999,97.278587,48409900,158
